,sl,index,sentence,promptsForPython,promptsForJulius
1237,1238,si1238,How on earth do you manage it?,HOW ON EARTH DO YOU MANAGE IT,*/sample1238 HOW ON EARTH DO YOU MANAGE IT
1238,1239,si1239,Thus far the advances made have been almost entirely along functional lines.,THUS FAR THE ADVANCES MADE HAVE BEEN ALMOST ENTIRELY ALONG FUNCTIONAL LINES,*/sample1239 THUS FAR THE ADVANCES MADE HAVE BEEN ALMOST ENTIRELY ALONG FUNCTIONAL LINES
1239,1240,si1240,"He is forced to play for little money, and must often take another job to live.",HE IS FORCED TO PLAY FOR LITTLE MONEY AND MUST OFTEN TAKE ANOTHER JOB TO LIVE,*/sample1240 HE IS FORCED TO PLAY FOR LITTLE MONEY AND MUST OFTEN TAKE ANOTHER JOB TO LIVE
1240,1241,si1241,"In many of his poems, death comes by train: a strongly evocative visual image.",IN MANY OF HIS POEMS DEATH COMES BY TRAIN A STRONGLY EVOCATIVE VISUAL IMAGE,*/sample1241 IN MANY OF HIS POEMS DEATH COMES BY TRAIN A STRONGLY EVOCATIVE VISUAL IMAGE
1241,1242,si1242,But it did print good verse and good fiction.,BUT IT DID PRINT GOOD VERSE AND GOOD FICTION,*/sample1242 BUT IT DID PRINT GOOD VERSE AND GOOD FICTION
1242,1243,si1243,Ideas are the thruway to nowhere.,IDEAS ARE THE THRUWAY TO NOWHERE,*/sample1243 IDEAS ARE THE THRUWAY TO NOWHERE
1243,1244,si1244,"The sculptor looked at him, bugeyed and amazed, angry.",THE SCULPTOR LOOKED AT HIM BUGEYED AND AMAZED ANGRY,*/sample1244 THE SCULPTOR LOOKED AT HIM BUGEYED AND AMAZED ANGRY
1244,1245,si1245,Object -- a village crossroads.,OBJECT  A VILLAGE CROSSROADS,*/sample1245 OBJECT  A VILLAGE CROSSROADS
1245,1246,si1246,"He was, thus, an early and spectacular victim.",HE WAS THUS AN EARLY AND SPECTACULAR VICTIM,*/sample1246 HE WAS THUS AN EARLY AND SPECTACULAR VICTIM
1246,1247,si1247,"No poetry, no airplanes, no dancers.",NO POETRY NO AIRPLANES NO DANCERS,*/sample1247 NO POETRY NO AIRPLANES NO DANCERS
1247,1248,si1248,The trouble is that like many symbols it doesn't seem a very realistic one.,THE TROUBLE IS THAT LIKE MANY SYMBOLS IT DOESN'T SEEM A VERY REALISTIC ONE,*/sample1248 THE TROUBLE IS THAT LIKE MANY SYMBOLS IT DOESN'T SEEM A VERY REALISTIC ONE
1248,1249,si1249,"Maybe twenty, thirty, fifty.",MAYBE TWENTY THIRTY FIFTY,*/sample1249 MAYBE TWENTY THIRTY FIFTY
1249,1250,si1250,Evidence that other sources of financing are unavailable must be provided.,EVIDENCE THAT OTHER SOURCES OF FINANCING ARE UNAVAILABLE MUST BE PROVIDED,*/sample1250 EVIDENCE THAT OTHER SOURCES OF FINANCING ARE UNAVAILABLE MUST BE PROVIDED
1250,1251,si1251,Only rarely is attention given to accurate progress reports and evaluation.,ONLY RARELY IS ATTENTION GIVEN TO ACCURATE PROGRESS REPORTS AND EVALUATION,*/sample1251 ONLY RARELY IS ATTENTION GIVEN TO ACCURATE PROGRESS REPORTS AND EVALUATION
1251,1252,si1252,Development requires a long-term approach.,DEVELOPMENT REQUIRES A LONG-TERM APPROACH,*/sample1252 DEVELOPMENT REQUIRES A LONG-TERM APPROACH
1252,1253,si1253,Most of our aid will go to those nearing self-sufficiency.,MOST OF OUR AID WILL GO TO THOSE NEARING SELF-SUFFICIENCY,*/sample1253 MOST OF OUR AID WILL GO TO THOSE NEARING SELF-SUFFICIENCY
1253,1254,si1254,To honor him is to honor ourselves.,TO HONOR HIM IS TO HONOR OURSELVES,*/sample1254 TO HONOR HIM IS TO HONOR OURSELVES
1254,1255,si1255,My sincere wish is that he continues to add to this record he sets here today.,MY SINCERE WISH IS THAT HE CONTINUES TO ADD TO THIS RECORD HE SETS HERE TODAY,*/sample1255 MY SINCERE WISH IS THAT HE CONTINUES TO ADD TO THIS RECORD HE SETS HERE TODAY
1255,1256,si1256,Origin of state automobile practices.,ORIGIN OF STATE AUTOMOBILE PRACTICES,*/sample1256 ORIGIN OF STATE AUTOMOBILE PRACTICES
1256,1257,si1257,Forty-seven states assign or provide vehicles for employees on state business.,FORTY-SEVEN STATES ASSIGN OR PROVIDE VEHICLES FOR EMPLOYEES ON STATE BUSINESS,*/sample1257 FORTY-SEVEN STATES ASSIGN OR PROVIDE VEHICLES FOR EMPLOYEES ON STATE BUSINESS
1257,1258,si1258,"It does not indicate loose management, ineffective controls or poor policy.",IT DOES NOT INDICATE LOOSE MANAGEMENT INEFFECTIVE CONTROLS OR POOR POLICY,*/sample1258 IT DOES NOT INDICATE LOOSE MANAGEMENT INEFFECTIVE CONTROLS OR POOR POLICY
1258,1259,si1259,"From this, motor pool personnel develop other meaningful and related data.",FROM THIS MOTOR POOL PERSONNEL DEVELOP OTHER MEANINGFUL AND RELATED DATA,*/sample1259 FROM THIS MOTOR POOL PERSONNEL DEVELOP OTHER MEANINGFUL AND RELATED DATA
1259,1260,si1260,Unit prices for state vehicles are invariably lower than to the general public.,UNIT PRICES FOR STATE VEHICLES ARE INVARIABLY LOWER THAN TO THE GENERAL PUBLIC,*/sample1260 UNIT PRICES FOR STATE VEHICLES ARE INVARIABLY LOWER THAN TO THE GENERAL PUBLIC
1260,1261,si1261,"In two cases, airplanes only were indicated.",IN TWO CASES AIRPLANES ONLY WERE INDICATED,*/sample1261 IN TWO CASES AIRPLANES ONLY WERE INDICATED
1261,1262,si1262,Ten others made no reply.,TEN OTHERS MADE NO REPLY,*/sample1262 TEN OTHERS MADE NO REPLY
1262,1263,si1263,Both have excellent integration of their fiscal tax collection year calendars.,BOTH HAVE EXCELLENT INTEGRATION OF THEIR FISCAL TAX COLLECTION YEAR CALENDARS,*/sample1263 BOTH HAVE EXCELLENT INTEGRATION OF THEIR FISCAL TAX COLLECTION YEAR CALENDARS
1263,1264,si1264,Dances alternated with sung or spoken verses.,DANCES ALTERNATED WITH SUNG OR SPOKEN VERSES,*/sample1264 DANCES ALTERNATED WITH SUNG OR SPOKEN VERSES
1264,1265,si1265,Ballets were used in opera from its beginning.,BALLETS WERE USED IN OPERA FROM ITS BEGINNING,*/sample1265 BALLETS WERE USED IN OPERA FROM ITS BEGINNING
1265,1266,si1266,Twenty-nine exhibits received awards.,TWENTY-NINE EXHIBITS RECEIVED AWARDS,*/sample1266 TWENTY-NINE EXHIBITS RECEIVED AWARDS
1266,1267,si1267,Thirty-five military and civilian students received laboratory training.,THIRTY-FIVE MILITARY AND CIVILIAN STUDENTS RECEIVED LABORATORY TRAINING,*/sample1267 THIRTY-FIVE MILITARY AND CIVILIAN STUDENTS RECEIVED LABORATORY TRAINING
1267,1268,si1268,The shutter consists of two parts: a fast-opening part and a fast-closing part.,THE SHUTTER CONSISTS OF TWO PARTS A FAST-OPENING PART AND A FAST-CLOSING PART,*/sample1268 THE SHUTTER CONSISTS OF TWO PARTS A FAST-OPENING PART AND A FAST-CLOSING PART
1268,1269,si1269,Resistance thermometers.,RESISTANCE THERMOMETERS,*/sample1269 RESISTANCE THERMOMETERS
1269,1270,si1270,Vapor pressure method.,VAPOR PRESSURE METHOD,*/sample1270 VAPOR PRESSURE METHOD
1270,1271,si1271,This has been attributed to helium film flow in the vapor pressure thermometer.,THIS HAS BEEN ATTRIBUTED TO HELIUM FILM FLOW IN THE VAPOR PRESSURE THERMOMETER,*/sample1271 THIS HAS BEEN ATTRIBUTED TO HELIUM FILM FLOW IN THE VAPOR PRESSURE THERMOMETER
1271,1272,si1272,Laboratory astrophysics.,LABORATORY ASTROPHYSICS,*/sample1272 LABORATORY ASTROPHYSICS
1272,1273,si1273,Selected bibliographies and tables of available data are now in preparation.,SELECTED BIBLIOGRAPHIES AND TABLES OF AVAILABLE DATA ARE NOW IN PREPARATION,*/sample1273 SELECTED BIBLIOGRAPHIES AND TABLES OF AVAILABLE DATA ARE NOW IN PREPARATION
1273,1274,si1274,Atomic energy levels.,ATOMIC ENERGY LEVELS,*/sample1274 ATOMIC ENERGY LEVELS
1274,1275,si1275,Blockade is one answer offered by experts.,BLOCKADE IS ONE ANSWER OFFERED BY EXPERTS,*/sample1275 BLOCKADE IS ONE ANSWER OFFERED BY EXPERTS
1275,1276,si1276,Land-based radar would help with this task.,LAND-BASED RADAR WOULD HELP WITH THIS TASK,*/sample1276 LAND-BASED RADAR WOULD HELP WITH THIS TASK
1276,1277,si1277,So would radar picket ships.,SO WOULD RADAR PICKET SHIPS,*/sample1277 SO WOULD RADAR PICKET SHIPS
1277,1278,si1278,"Solid concrete blocks, relatively heavy and dense, are used for this shelter.",SOLID CONCRETE BLOCKS RELATIVELY HEAVY AND DENSE ARE USED FOR THIS SHELTER,*/sample1278 SOLID CONCRETE BLOCKS RELATIVELY HEAVY AND DENSE ARE USED FOR THIS SHELTER
1278,1279,si1279,Bricks are an alternative.,BRICKS ARE AN ALTERNATIVE,*/sample1279 BRICKS ARE AN ALTERNATIVE
1279,1280,si1280,The shelter shown would provide almost absolute fallout protection.,THE SHELTER SHOWN WOULD PROVIDE ALMOST ABSOLUTE FALLOUT PROTECTION,*/sample1280 THE SHELTER SHOWN WOULD PROVIDE ALMOST ABSOLUTE FALLOUT PROTECTION
1280,1281,si1281,The same shelter could be built into an embankment or below ground level.,THE SAME SHELTER COULD BE BUILT INTO AN EMBANKMENT OR BELOW GROUND LEVEL,*/sample1281 THE SAME SHELTER COULD BE BUILT INTO AN EMBANKMENT OR BELOW GROUND LEVEL
1281,1282,si1282,Radio reception is cut down by the shielding necessary to keep out radiation.,RADIO RECEPTION IS CUT DOWN BY THE SHIELDING NECESSARY TO KEEP OUT RADIATION,*/sample1282 RADIO RECEPTION IS CUT DOWN BY THE SHIELDING NECESSARY TO KEEP OUT RADIATION
1282,1283,si1283,Living in a shelter the radioactivity of fallout decays rapidly at first.,LIVING IN A SHELTER THE RADIOACTIVITY OF FALLOUT DECAYS RAPIDLY AT FIRST,*/sample1283 LIVING IN A SHELTER THE RADIOACTIVITY OF FALLOUT DECAYS RAPIDLY AT FIRST
1283,1284,si1284,A battery-powered radio is essential.,A BATTERY-POWERED RADIO IS ESSENTIAL,*/sample1284 A BATTERY-POWERED RADIO IS ESSENTIAL
1284,1285,si1285,Family rationing probably will be necessary.,FAMILY RATIONING PROBABLY WILL BE NECESSARY,*/sample1285 FAMILY RATIONING PROBABLY WILL BE NECESSARY
1285,1286,si1286,Blowers should be operated periodically on a regular schedule.,BLOWERS SHOULD BE OPERATED PERIODICALLY ON A REGULAR SCHEDULE,*/sample1286 BLOWERS SHOULD BE OPERATED PERIODICALLY ON A REGULAR SCHEDULE
1286,1287,si1287,A covered container such as a kitchen garbage pail might do as a toilet.,A COVERED CONTAINER SUCH AS A KITCHEN GARBAGE PAIL MIGHT DO AS A TOILET,*/sample1287 A COVERED CONTAINER SUCH AS A KITCHEN GARBAGE PAIL MIGHT DO AS A TOILET
1287,1288,si1288,A portable electric heater is advisable for shelters in cold climates.,A PORTABLE ELECTRIC HEATER IS ADVISABLE FOR SHELTERS IN COLD CLIMATES,*/sample1288 A PORTABLE ELECTRIC HEATER IS ADVISABLE FOR SHELTERS IN COLD CLIMATES
1288,1289,si1289,A flame would use up air.,A FLAME WOULD USE UP AIR,*/sample1289 A FLAME WOULD USE UP AIR
1289,1290,si1290,One of these is the solidarity and the confidential relationship of marriage.,ONE OF THESE IS THE SOLIDARITY AND THE CONFIDENTIAL RELATIONSHIP OF MARRIAGE,*/sample1290 ONE OF THESE IS THE SOLIDARITY AND THE CONFIDENTIAL RELATIONSHIP OF MARRIAGE
1290,1291,si1291,"They should live in modest circumstances, avoiding all conspicuous consumption.",THEY SHOULD LIVE IN MODEST CIRCUMSTANCES AVOIDING ALL CONSPICUOUS CONSUMPTION,*/sample1291 THEY SHOULD LIVE IN MODEST CIRCUMSTANCES AVOIDING ALL CONSPICUOUS CONSUMPTION
1291,1292,si1292,Our aim must be to learn as much as we teach.,OUR AIM MUST BE TO LEARN AS MUCH AS WE TEACH,*/sample1292 OUR AIM MUST BE TO LEARN AS MUCH AS WE TEACH
1292,1293,si1293,These curves were derived by an analysis of extensive skywave measurement data.,THESE CURVES WERE DERIVED BY AN ANALYSIS OF EXTENSIVE SKYWAVE MEASUREMENT DATA,*/sample1293 THESE CURVES WERE DERIVED BY AN ANALYSIS OF EXTENSIVE SKYWAVE MEASUREMENT DATA
1293,1294,si1294,"If you are a life tenant, you deduct allowable depreciation and depletion.",IF YOU ARE A LIFE TENANT YOU DEDUCT ALLOWABLE DEPRECIATION AND DEPLETION,*/sample1294 IF YOU ARE A LIFE TENANT YOU DEDUCT ALLOWABLE DEPRECIATION AND DEPLETION
1294,1295,si1295,He may get a tax refund.,HE MAY GET A TAX REFUND,*/sample1295 HE MAY GET A TAX REFUND
1295,1296,si1296,"Further research, we believe, will develop important commercial applications.",FURTHER RESEARCH WE BELIEVE WILL DEVELOP IMPORTANT COMMERCIAL APPLICATIONS,*/sample1296 FURTHER RESEARCH WE BELIEVE WILL DEVELOP IMPORTANT COMMERCIAL APPLICATIONS
1296,1297,si1297,At intervals an alumni directory is issued.,AT INTERVALS AN ALUMNI DIRECTORY IS ISSUED,*/sample1297 AT INTERVALS AN ALUMNI DIRECTORY IS ISSUED
1297,1298,si1298,Between meetings he helps the president keep track of delegated matters.,BETWEEN MEETINGS HE HELPS THE PRESIDENT KEEP TRACK OF DELEGATED MATTERS,*/sample1298 BETWEEN MEETINGS HE HELPS THE PRESIDENT KEEP TRACK OF DELEGATED MATTERS
1298,1299,si1299,How well do faculty members govern themselves?,HOW WELL DO FACULTY MEMBERS GOVERN THEMSELVES,*/sample1299 HOW WELL DO FACULTY MEMBERS GOVERN THEMSELVES
1299,1300,si1300,"He can, for example, present significant university-wide issues to the senate.",HE CAN FOR EXAMPLE PRESENT SIGNIFICANT UNIVERSITY-WIDE ISSUES TO THE SENATE,*/sample1300 HE CAN FOR EXAMPLE PRESENT SIGNIFICANT UNIVERSITY-WIDE ISSUES TO THE SENATE
1300,1301,si1301,Deans can form an important bridge between the president and the faculty.,DEANS CAN FORM AN IMPORTANT BRIDGE BETWEEN THE PRESIDENT AND THE FACULTY,*/sample1301 DEANS CAN FORM AN IMPORTANT BRIDGE BETWEEN THE PRESIDENT AND THE FACULTY
1301,1302,si1302,"More often, these offices are restricted to the gathering of empirical data.",MORE OFTEN THESE OFFICES ARE RESTRICTED TO THE GATHERING OF EMPIRICAL DATA,*/sample1302 MORE OFTEN THESE OFFICES ARE RESTRICTED TO THE GATHERING OF EMPIRICAL DATA
1302,1303,si1303,A detailed study of this latter phenomenon was not attempted in this paper.,A DETAILED STUDY OF THIS LATTER PHENOMENON WAS NOT ATTEMPTED IN THIS PAPER,*/sample1303 A DETAILED STUDY OF THIS LATTER PHENOMENON WAS NOT ATTEMPTED IN THIS PAPER
1303,1304,si1304,It was exposed to a high velocity gas jet.,IT WAS EXPOSED TO A HIGH VELOCITY GAS JET,*/sample1304 IT WAS EXPOSED TO A HIGH VELOCITY GAS JET
1304,1305,si1305,"If they are not ellipsoids, the conclusions will be a reasonable approximation.",IF THEY ARE NOT ELLIPSOIDS THE CONCLUSIONS WILL BE A REASONABLE APPROXIMATION,*/sample1305 IF THEY ARE NOT ELLIPSOIDS THE CONCLUSIONS WILL BE A REASONABLE APPROXIMATION
1305,1306,si1306,"This viscosity of the material in the drops is, of course, not negligible.",THIS VISCOSITY OF THE MATERIAL IN THE DROPS IS OF COURSE NOT NEGLIGIBLE,*/sample1306 THIS VISCOSITY OF THE MATERIAL IN THE DROPS IS OF COURSE NOT NEGLIGIBLE
1306,1307,si1307,This is known as conformational entropy.,THIS IS KNOWN AS CONFORMATIONAL ENTROPY,*/sample1307 THIS IS KNOWN AS CONFORMATIONAL ENTROPY
1307,1308,si1308,Indeed it is possible to separate electron paramagnetic from nuclear effects.,INDEED IT IS POSSIBLE TO SEPARATE ELECTRON PARAMAGNETIC FROM NUCLEAR EFFECTS,*/sample1308 INDEED IT IS POSSIBLE TO SEPARATE ELECTRON PARAMAGNETIC FROM NUCLEAR EFFECTS
1308,1309,si1309,The better quality products in both of these lines contain phosphate builders.,THE BETTER QUALITY PRODUCTS IN BOTH OF THESE LINES CONTAIN PHOSPHATE BUILDERS,*/sample1309 THE BETTER QUALITY PRODUCTS IN BOTH OF THESE LINES CONTAIN PHOSPHATE BUILDERS
1309,1310,si1310,Many scouring powders now also contain phosphates.,MANY SCOURING POWDERS NOW ALSO CONTAIN PHOSPHATES,*/sample1310 MANY SCOURING POWDERS NOW ALSO CONTAIN PHOSPHATES
1310,1311,si1311,Soil redeposition is evaluated by washing clean swatches with the dirty ones.,SOIL REDEPOSITION IS EVALUATED BY WASHING CLEAN SWATCHES WITH THE DIRTY ONES,*/sample1311 SOIL REDEPOSITION IS EVALUATED BY WASHING CLEAN SWATCHES WITH THE DIRTY ONES
1311,1312,si1312,"In most cases, these soils are taken up as liquids through capillary action.",IN MOST CASES THESE SOILS ARE TAKEN UP AS LIQUIDS THROUGH CAPILLARY ACTION,*/sample1312 IN MOST CASES THESE SOILS ARE TAKEN UP AS LIQUIDS THROUGH CAPILLARY ACTION
1312,1313,si1313,Cleaned cloth must be protected against the redeposition of dispersed soil.,CLEANED CLOTH MUST BE PROTECTED AGAINST THE REDEPOSITION OF DISPERSED SOIL,*/sample1313 CLEANED CLOTH MUST BE PROTECTED AGAINST THE REDEPOSITION OF DISPERSED SOIL
1313,1314,si1314,The photochemical exchange in the gas phase.,THE PHOTOCHEMICAL EXCHANGE IN THE GAS PHASE,*/sample1314 THE PHOTOCHEMICAL EXCHANGE IN THE GAS PHASE
1314,1315,si1315,There are several sources of evidence on the micrometeorite environment.,THERE ARE SEVERAL SOURCES OF EVIDENCE ON THE MICROMETEORITE ENVIRONMENT,*/sample1315 THERE ARE SEVERAL SOURCES OF EVIDENCE ON THE MICROMETEORITE ENVIRONMENT
1315,1316,si1316,Space probes have yielded little information.,SPACE PROBES HAVE YIELDED LITTLE INFORMATION,*/sample1316 SPACE PROBES HAVE YIELDED LITTLE INFORMATION
1316,1317,si1317,"Being based on so few events, these results are of dubious validity.",BEING BASED ON SO FEW EVENTS THESE RESULTS ARE OF DUBIOUS VALIDITY,*/sample1317 BEING BASED ON SO FEW EVENTS THESE RESULTS ARE OF DUBIOUS VALIDITY
1317,1318,si1318,To what extent such low density applies to micrometeorites is unknown.,TO WHAT EXTENT SUCH LOW DENSITY APPLIES TO MICROMETEORITES IS UNKNOWN,*/sample1318 TO WHAT EXTENT SUCH LOW DENSITY APPLIES TO MICROMETEORITES IS UNKNOWN
1318,1319,si1319,Biological warfare is considered to be primarily a strategic weapon.,BIOLOGICAL WARFARE IS CONSIDERED TO BE PRIMARILY A STRATEGIC WEAPON,*/sample1319 BIOLOGICAL WARFARE IS CONSIDERED TO BE PRIMARILY A STRATEGIC WEAPON
1319,1320,si1320,This area is highly susceptible to infection.,THIS AREA IS HIGHLY SUSCEPTIBLE TO INFECTION,*/sample1320 THIS AREA IS HIGHLY SUSCEPTIBLE TO INFECTION
1320,1321,si1321,There are optimal humidity requirements for various agents when airborne.,THERE ARE OPTIMAL HUMIDITY REQUIREMENTS FOR VARIOUS AGENTS WHEN AIRBORNE,*/sample1321 THERE ARE OPTIMAL HUMIDITY REQUIREMENTS FOR VARIOUS AGENTS WHEN AIRBORNE
1321,1322,si1322,This may be of overriding importance in considering military objectives.,THIS MAY BE OF OVERRIDING IMPORTANCE IN CONSIDERING MILITARY OBJECTIVES,*/sample1322 THIS MAY BE OF OVERRIDING IMPORTANCE IN CONSIDERING MILITARY OBJECTIVES
1322,1323,si1323,Lousiness is a prerequisite for epidemic typhus.,LOUSINESS IS A PREREQUISITE FOR EPIDEMIC TYPHUS,*/sample1323 LOUSINESS IS A PREREQUISITE FOR EPIDEMIC TYPHUS
1323,1324,si1324,"It is a happy, buzzing crowd.",IT IS A HAPPY BUZZING CROWD,*/sample1324 IT IS A HAPPY BUZZING CROWD
1324,1325,si1325,"Quite often, honeybees form a majority on the willow catkins.",QUITE OFTEN HONEYBEES FORM A MAJORITY ON THE WILLOW CATKINS,*/sample1325 QUITE OFTEN HONEYBEES FORM A MAJORITY ON THE WILLOW CATKINS
1325,1326,si1326,"The larvae, kept warm by the queen, are full grown in about ten days.",THE LARVAE KEPT WARM BY THE QUEEN ARE FULL GROWN IN ABOUT TEN DAYS,*/sample1326 THE LARVAE KEPT WARM BY THE QUEEN ARE FULL GROWN IN ABOUT TEN DAYS
1326,1327,si1327,"Sometimes, although by no means always, these are indeed alkaline.",SOMETIMES ALTHOUGH BY NO MEANS ALWAYS THESE ARE INDEED ALKALINE,*/sample1327 SOMETIMES ALTHOUGH BY NO MEANS ALWAYS THESE ARE INDEED ALKALINE
1327,1328,si1328,It is possible to make a few generalizations about the six giants themselves.,IT IS POSSIBLE TO MAKE A FEW GENERALIZATIONS ABOUT THE SIX GIANTS THEMSELVES,*/sample1328 IT IS POSSIBLE TO MAKE A FEW GENERALIZATIONS ABOUT THE SIX GIANTS THEMSELVES
1328,1329,si1329,This birth length seems to be typical.,THIS BIRTH LENGTH SEEMS TO BE TYPICAL,*/sample1329 THIS BIRTH LENGTH SEEMS TO BE TYPICAL
1329,1330,si1330,The lower portion provides a rating at any stage between infancy and adulthood.,THE LOWER PORTION PROVIDES A RATING AT ANY STAGE BETWEEN INFANCY AND ADULTHOOD,*/sample1330 THE LOWER PORTION PROVIDES A RATING AT ANY STAGE BETWEEN INFANCY AND ADULTHOOD
1330,1331,si1331,No fasciculations or sensory defects were found.,NO FASCICULATIONS OR SENSORY DEFECTS WERE FOUND,*/sample1331 NO FASCICULATIONS OR SENSORY DEFECTS WERE FOUND
1331,1332,si1332,Thyroid function tests yielded normal results.,THYROID FUNCTION TESTS YIELDED NORMAL RESULTS,*/sample1332 THYROID FUNCTION TESTS YIELDED NORMAL RESULTS
1332,1333,si1333,X-ray films of the vertebral column showed progression of the demineralization.,X-RAY FILMS OF THE VERTEBRAL COLUMN SHOWED PROGRESSION OF THE DEMINERALIZATION,*/sample1333 X-RAY FILMS OF THE VERTEBRAL COLUMN SHOWED PROGRESSION OF THE DEMINERALIZATION
1333,1334,si1334,"Microscopically, there was emphysema, fibrosis, and vascular congestion.",MICROSCOPICALLY THERE WAS EMPHYSEMA FIBROSIS AND VASCULAR CONGESTION,*/sample1334 MICROSCOPICALLY THERE WAS EMPHYSEMA FIBROSIS AND VASCULAR CONGESTION
1334,1335,si1335,Inflammatory cells were strikingly absent.,INFLAMMATORY CELLS WERE STRIKINGLY ABSENT,*/sample1335 INFLAMMATORY CELLS WERE STRIKINGLY ABSENT
1335,1336,si1336,These were thought to represent regenerating fibers.,THESE WERE THOUGHT TO REPRESENT REGENERATING FIBERS,*/sample1336 THESE WERE THOUGHT TO REPRESENT REGENERATING FIBERS
1336,1337,si1337,This was chiefly because of the bluish white autofluorescence from the cells.,THIS WAS CHIEFLY BECAUSE OF THE BLUISH WHITE AUTOFLUORESCENCE FROM THE CELLS,*/sample1337 THIS WAS CHIEFLY BECAUSE OF THE BLUISH WHITE AUTOFLUORESCENCE FROM THE CELLS
